Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
198376038939;D'LUX WALKER 2.0 - RAİN CHECK;Ayakkabı;Skechers;Açık Gri/Çok renkli;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150089-LGMT/150089-LGMT-72-0.jpg
198376590291;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
198376038892;D'LUX WALKER 2.0 - RAİN CHECK;Ayakkabı;Skechers;Açık Gri/Çok renkli;5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150089-LGMT/150089-LGMT-72-0.jpg
198376590277;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
198376038915;D'LUX WALKER 2.0 - RAİN CHECK;Ayakkabı;Skechers;Açık Gri/Çok renkli;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150089-LGMT/150089-LGMT-72-0.jpg
198376590239;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
198376094539;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
198376590246;SKECH CLOUD-GENTLE GLOW;Ayakkabı;Skechers;Açık Gri/Çok renkli;7.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150561-lgmt/1.jpg
198376094515;HOTSHOT - FOR THE WIN;Ayakkabı;Skechers;Açık Gri/Çok renkli;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/185234-lgmt/01.jpg
198739014167;SKECH CLOUD-PERFECTLY PLUSH;Ayakkabı;Skechers;Açık Gri/Çok renkli;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150560-lgmt/01.jpg
8683030716114;ARCH FİT 2.0-BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051tk-lgmt/1.jpg
198739014204;SKECH CLOUD-PERFECTLY PLUSH;Ayakkabı;Skechers;Açık Gri/Çok renkli;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150560-lgmt/01.jpg
8683030716138;ARCH FİT 2.0-BİG LEAGUE;Ayakkabı;Skechers;Açık Gri/Çok renkli;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150051tk-lgmt/1.jpg
